Table,Row,Risk,StdErr,LowerCL,UpperCL,_SkipLine
Table e_any_sub * any_dev,Difference,-0.0109,0.0007,-0.0124,-0.0095,1
Table e_any_sub * any_stm,Row 1,0.0121,0.0001,0.0118,0.0123,
Table e_any_sub * any_stm,Row 2,0.0153,0.0005,0.0143,0.0162,
Table e_any_sub * any_stm,Total,0.0123,0.0001,0.0121,0.0126,
Table e_any_sub * any_stm,Difference,-0.0032,0.0005,-0.0042,-0.0022,1
Table e_any_dep * any_adhd,Row 1,0.0261,0.0002,0.0256,0.0266,
Table e_any_dep * any_adhd,Row 2,0.0595,0.0004,0.0587,0.0603,
Table e_any_dep * any_adhd,Total,0.0405,0.0002,0.0401,0.0410,
Table e_any_dep * any_adhd,Difference,-0.0334,0.0005,-0.0344,-0.0325,1
Table e_any_dep * any_sub,Row 1,0.0044,0.0001,0.0042,0.0046,
Table e_any_dep * any_sub,Row 2,0.0091,0.0002,0.0088,0.0095,
Table e_any_dep * any_sub,Total,0.0064,0.0001,0.0063,0.0066,
Table e_any_dep * any_sub,Difference,-0.0048,0.0002,-0.0051,-0.0044,1
Table e_any_dep * any_chad,Row 1,0.0449,0.0003,0.0443,0.0455,
Table e_any_dep * any_chad,Row 2,0.0899,0.0005,0.0889,0.0908,
Table e_any_dep * any_chad,Total,0.0643,0.0003,0.0638,0.0649,
Table e_any_dep * any_chad,Difference,-0.0450,0.0006,-0.0461,-0.0438,1
Table e_any_dep * any_dep,Row 1,0.0266,0.0002,0.0262,0.0271,
Table e_any_dep * any_dep,Row 2,0.0614,0.0004,0.0606,0.0622,
Table e_any_dep * any_dep,Total,0.0417,0.0002,0.0412,0.0421,
Table e_any_dep * any_dep,Difference,-0.0348,0.0005,-0.0357,-0.0338,1
Table e_any_dep * any_str,Row 1,0.0102,0.0002,0.0099,0.0105,
Table e_any_dep * any_str,Row 2,0.0266,0.0003,0.0261,0.0272,
Table e_any_dep * any_str,Total,0.0173,0.0002,0.0170,0.0176,
Table e_any_dep * any_str,Difference,-0.0164,0.0003,-0.0170,-0.0157,1
Table e_any_dep * any_anx,Row 1,0.0202,0.0002,0.0198,0.0206,
Table e_any_dep * any_anx,Row 2,0.0435,0.0003,0.0428,0.0442,
Table e_any_dep * any_anx,Total,0.0303,0.0002,0.0299,0.0307,
Table e_any_dep * any_anx,Difference,-0.0233,0.0004,-0.0241,-0.0225,1
Table e_any_dep * any_phb,Row 1,0.0069,0.0001,0.0067,0.0072,
Table e_any_dep * any_phb,Row 2,0.0134,0.0002,0.0130,0.0137,
Table e_any_dep * any_phb,Total,0.0097,0.0001,0.0095,0.0099,
Table e_any_dep * any_phb,Difference,-0.0064,0.0002,-0.0069,-0.0060,1
Table e_any_dep * any_ptsd,Row 1,0.0011,0.0001,0.0010,0.0012,
Table e_any_dep * any_ptsd,Row 2,0.0042,0.0001,0.0040,0.0044,
Table e_any_dep * any_ptsd,Total,0.0025,0.0001,0.0024,0.0026,
Table e_any_dep * any_ptsd,Difference,-0.0031,0.0001,-0.0033,-0.0028,1
Table e_any_dep * any_som,Row 1,0.0025,0.0001,0.0024,0.0027,
Table e_any_dep * any_som,Row 2,0.0042,0.0001,0.0040,0.0045,
Table e_any_dep * any_som,Total,0.0033,0.0001,0.0031,0.0034,
Table e_any_dep * any_som,Difference,-0.0017,0.0001,-0.0020,-0.0015,1
Table e_any_dep * any_psy,Row 1,0.0010,0.0000,0.0009,0.0011,
