Variable,DF,Estimate,StdErr,WaldChiSq,ProbChiSq,tValue,ProbT,Outcome
e_any_ptsd,508492,0.4644,0.0297,244.73382894,<.0001,15.64,<.0001,any_dev
e_any_som,508492,0.3643,0.0427,72.822070807,<.0001,8.53,<.0001,any_dev
e_any_psy,508492,0.4957,0.0319,242.18774364,<.0001,15.56,<.0001,any_dev
e_any_oth,508492,0.3466,0.0150,537.10277177,<.0001,23.18,<.0001,any_dev
e_any_slp,508492,0.3470,0.0157,490.56919973,<.0001,22.15,<.0001,any_dev
e_any_sex,508492,0.3087,0.0321,92.609903732,<.0001,9.62,<.0001,any_dev
e_any_sui,508492,0.5192,0.0457,128.94560647,<.0001,11.36,<.0001,any_dev
e_any_per,508492,0.5508,0.0383,206.55421998,<.0001,14.37,<.0001,any_dev
e_any_adhd,508492,0.7100,0.0384,342.00037028,<.0001,18.49,<.0001,any_stm
e_any_MH,508492,0.5275,0.0280,353.80119546,<.0001,18.81,<.0001,any_stm
e_any_sub,508492,0.2398,0.0335,51.124057598,<.0001,7.15,<.0001,any_stm
e_any_dep,508492,0.4037,0.0204,389.90823393,<.0001,19.75,<.0001,any_stm
e_any_str,508492,0.2832,0.0204,192.36539981,<.0001,13.87,<.0001,any_stm
e_any_anx,508492,0.3914,0.0223,308.35992612,<.0001,17.56,<.0001,any_stm
e_any_phb,508492,0.4059,0.0385,111.2315903,<.0001,10.55,<.0001,any_stm
e_any_ptsd,508492,0.3097,0.0431,51.581649827,<.0001,7.18,<.0001,any_stm
e_any_som,508492,0.3790,0.0586,41.857047499,<.0001,6.47,<.0001,any_stm
e_any_psy,508492,0.3760,0.0460,66.679871687,<.0001,8.17,<.0001,any_stm
e_any_oth,508492,0.3644,0.0205,315.04950916,<.0001,17.75,<.0001,any_stm
e_any_slp,508492,0.3561,0.0215,274.30475821,<.0001,16.56,<.0001,any_stm
e_any_sex,508492,0.3150,0.0437,51.977316744,<.0001,7.21,<.0001,any_stm
e_any_sui,508492,0.2739,0.0683,16.097649293,<.0001,4.01,<.0001,any_stm
e_any_per,508492,0.5270,0.0524,101.10987033,<.0001,10.06,<.0001,any_stm
