lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper
c_int,~~,m_ext,mc_ei_i,0.15893789837694275,0.0017884663770395461,88.86826189040978,0,0.1554325686903844,0.1624432280635011
m_ext,~~,c_thd,mc_et_i,0.14556423388906603,0.004010112575446902,36.29928864848484,0,0.13770455766723894,0.15342391011089312
c_ext,~~,m_int,mc_ie_i,0.20957874112249536,0.0015557076683916618,134.71601727023963,0,0.20652961012197493,0.2126278721230158
c_int,~~,m_int,mc_ii_i,0.20976964332058884,0.0012157734911949752,172.54007003755916,0,0.20738677106448816,0.21215251557668952
m_int,~~,c_thd,mc_it_i,0.1647052980817272,0.002962038844046281,55.605380872295456,0,0.15889980862658784,0.17051078753686658
c_ext,~~,m_thd,mc_te_i,0.13373486018618222,0.002914852437220394,45.88049071661134,0,0.12802185438898145,0.139447865983383
c_int,~~,m_thd,mc_ti_i,0.11615850712078425,0.002423208809519018,47.935822395693805,0,0.11140910512710679,0.12090790911446171
m_thd,~~,c_thd,mc_tt_i,0.18129273084131262,0.004823568212258532,37.584776013030854,0,0.17183871086831365,0.19074675081431158
c_ext,~~,d_ext,dc_ee_i,0.2689912358525206,0.0020295731855996184,132.5358640728443,0,0.26501334550475714,0.2729691262002841
c_int,~~,d_ext,dc_ei_i,0.1589378983769428,0.001788466377039547,88.86826189040977,0,0.15543256869038446,0.16244322806350114
d_ext,~~,c_thd,dc_et_i,0.14556423388906647,0.004010112575446901,36.29928864848496,0,0.13770455766723938,0.15342391011089357
c_ext,~~,d_int,dc_ie_i,0.20957874112249522,0.0015557076683916627,134.7160172702395,0,0.2065296101219748,0.21262787212301565
c_int,~~,d_int,dc_ii_i,0.20976964332058862,0.0012157734911949745,172.54007003755908,0,0.20738677106448794,0.2121525155766893
d_int,~~,c_thd,dc_it_i,0.1647052980817268,0.0029620388440462814,55.60538087229531,0,0.15889980862658742,0.17051078753686616
c_ext,~~,d_thd,dc_te_i,0.1337348601861827,0.0029148524372203948,45.88049071661149,0,0.12802185438898192,0.13944786598338346
c_int,~~,d_thd,dc_ti_i,0.11615850712078454,0.0024232088095190165,47.93582239569395,0,0.1114091051271071,0.12090790911446199
d_thd,~~,c_thd,dc_tt_i,0.18129273084131337,0.004823568212258537,37.584776013030975,0,0.17183871086831437,0.19074675081431236
m_ext,~~,mm_ext,mmm_ee_i,0.26899123585252027,0.002029573185599617,132.53586407284422,0,0.2650133455047568,0.27296912620028374
m_int,~~,mm_ext,mmm_ei_i,0.15893789837694264,0.0017884663770395455,88.86826189040976,0,0.1554325686903843,0.16244322806350098
mm_ext,~~,m_thd,mmm_et_i,0.14556423388906597,0.004010112575446903,36.29928864848481,0,0.13770455766723888,0.15342391011089307
m_ext,~~,mm_int,mmm_ie_i,0.20957874112249553,0.001555707668391663,134.71601727023966,0,0.2065296101219751,0.21262787212301595
m_int,~~,mm_int,mmm_ii_i,0.20976964332058887,0.0012157734911949756,172.54007003755913,0,0.2073867710644882,0.21215251557668954
mm_int,~~,m_thd,mmm_it_i,0.1647052980817271,0.002962038844046281,55.60538087229541,0,0.15889980862658773,0.17051078753686646
m_ext,~~,mm_thd,mmm_te_i,0.1337348601861822,0.002914852437220393,45.88049071661134,0,0.12802185438898142,0.13944786598338296
m_int,~~,mm_thd,mmm_ti_i,0.11615850712078436,0.0024232088095190187,47.93582239569383,0,0.1114091051271069,0.12090790911446182
m_thd,~~,mm_thd,mmm_tt_i,0.18129273084131256,0.004823568212258537,37.58477601303081,0,0.17183871086831357,0.19074675081431156
m_ext,~~,md_ext,mdm_ee_i,0.2689912358525203,0.0020295731855996184,132.53586407284416,0,0.26501334550475686,0.2729691262002838
