Table,Row,Risk,ASE,LowerCL,UpperCL,ExactLowerCL,ExactUpperCL,Control
Table any_dep * any_dep,Difference,-1.0000,0.0000,-1.0000,-1.0000,_,_,1
Table any_dep * any_str,Row 1,0.1861,0.0004,0.1853,0.1868,0.1853,0.1868,
Table any_dep * any_str,Row 2,0.4110,0.0008,0.4094,0.4126,0.4094,0.4126,
Table any_dep * any_str,Total,0.2444,0.0004,0.2437,0.2451,0.2437,0.2452,
Table any_dep * any_str,Difference,-0.2249,0.0009,-0.2267,-0.2231,_,_,1
Table any_dep * any_anx,Row 1,0.0659,0.0002,0.0655,0.0664,0.0655,0.0664,
Table any_dep * any_anx,Row 2,0.3026,0.0008,0.3011,0.3041,0.3011,0.3041,
Table any_dep * any_anx,Total,0.1273,0.0003,0.1268,0.1279,0.1268,0.1279,
Table any_dep * any_anx,Difference,-0.2367,0.0008,-0.2382,-0.2351,_,_,1
Table any_dep * any_phb,Row 1,0.0137,0.0001,0.0135,0.0140,0.0135,0.0140,
Table any_dep * any_phb,Row 2,0.0648,0.0004,0.0640,0.0656,0.0640,0.0656,
Table any_dep * any_phb,Total,0.0270,0.0001,0.0267,0.0273,0.0267,0.0273,
Table any_dep * any_phb,Difference,-0.0510,0.0004,-0.0519,-0.0502,_,_,1
Table any_dep * any_ptsd,Row 1,0.0065,0.0001,0.0064,0.0067,0.0064,0.0067,
Table any_dep * any_ptsd,Row 2,0.0499,0.0004,0.0492,0.0506,0.0492,0.0507,
Table any_dep * any_ptsd,Total,0.0178,0.0001,0.0176,0.0180,0.0176,0.0180,
Table any_dep * any_ptsd,Difference,-0.0434,0.0004,-0.0442,-0.0427,_,_,1
Table any_dep * any_som,Row 1,0.0057,0.0001,0.0055,0.0058,0.0055,0.0058,
Table any_dep * any_som,Row 2,0.0209,0.0002,0.0205,0.0214,0.0205,0.0214,
Table any_dep * any_som,Total,0.0096,0.0001,0.0095,0.0098,0.0095,0.0098,
Table any_dep * any_som,Difference,-0.0153,0.0002,-0.0158,-0.0148,_,_,1
Table any_dep * any_psy,Row 1,0.0074,0.0001,0.0073,0.0076,0.0073,0.0076,
Table any_dep * any_psy,Row 2,0.0616,0.0004,0.0608,0.0624,0.0608,0.0624,
Table any_dep * any_psy,Total,0.0215,0.0001,0.0213,0.0217,0.0213,0.0217,
Table any_dep * any_psy,Difference,-0.0541,0.0004,-0.0549,-0.0533,_,_,1
Table any_dep * any_oth,Row 1,0.1371,0.0003,0.1364,0.1377,0.1364,0.1377,
Table any_dep * any_oth,Row 2,0.3670,0.0008,0.3654,0.3686,0.3654,0.3686,
Table any_dep * any_oth,Total,0.1967,0.0003,0.1961,0.1974,0.1961,0.1974,
Table any_dep * any_oth,Difference,-0.2299,0.0009,-0.2316,-0.2282,_,_,1
Table any_dep * any_slp,Row 1,0.1233,0.0003,0.1227,0.1240,0.1227,0.1240,
Table any_dep * any_slp,Row 2,0.3289,0.0008,0.3274,0.3305,0.3274,0.3305,
Table any_dep * any_slp,Total,0.1767,0.0003,0.1761,0.1773,0.1761,0.1773,
Table any_dep * any_slp,Difference,-0.2056,0.0008,-0.2073,-0.2040,_,_,1
Table any_dep * any_sex,Row 1,0.0234,0.0001,0.0231,0.0237,0.0231,0.0237,
Table any_dep * any_sex,Row 2,0.0351,0.0003,0.0345,0.0357,0.0345,0.0357,
Table any_dep * any_sex,Total,0.0264,0.0001,0.0262,0.0267,0.0262,0.0267,
Table any_dep * any_sex,Difference,-0.0117,0.0003,-0.0123,-0.0110,_,_,1
Table any_dep * any_per,Row 1,0.0036,0.0001,0.0035,0.0037,0.0035,0.0037,
Table any_dep * any_per,Row 2,0.0367,0.0003,0.0361,0.0373,0.0361,0.0373,
Table any_dep * any_per,Total,0.0122,0.0001,0.0120,0.0124,0.0120,0.0124,
Table any_dep * any_per,Difference,-0.0331,0.0003,-0.0337,-0.0325,_,_,1
Table any_dep * any_sui,Row 1,0.0018,0.0000,0.0017,0.0019,0.0017,0.0019,
Table any_dep * any_sui,Row 2,0.0302,0.0003,0.0296,0.0307,0.0296,0.0307,
Table any_dep * any_sui,Total,0.0092,0.0001,0.0090,0.0093,0.0090,0.0093,
Table any_dep * any_sui,Difference,-0.0284,0.0003,-0.0289,-0.0278,_,_,1
Table any_str * any_adhd,Row 1,0.0124,0.0001,0.0122,0.0127,0.0122,0.0127,
Table any_str * any_adhd,Row 2,0.0298,0.0003,0.0293,0.0304,0.0293,0.0304,
Table any_str * any_adhd,Total,0.0167,0.0001,0.0165,0.0169,0.0165,0.0169,
Table any_str * any_adhd,Difference,-0.0174,0.0003,-0.0180,-0.0168,_,_,1
Table any_str * any_sub,Row 1,0.0464,0.0002,0.0460,0.0468,0.0460,0.0468,
Table any_str * any_sub,Row 2,0.0858,0.0005,0.0849,0.0867,0.0849,0.0867,
Table any_str * any_sub,Total,0.0560,0.0002,0.0557,0.0564,0.0557,0.0564,
Table any_str * any_sub,Difference,-0.0394,0.0005,-0.0404,-0.0384,_,_,1
Table any_str * any_dep,Row 1,0.2023,0.0004,0.2015,0.2030,0.2015,0.2030,
Table any_str * any_dep,Row 2,0.4363,0.0008,0.4346,0.4379,0.4346,0.4379,
Table any_str * any_dep,Total,0.2595,0.0004,0.2587,0.2602,0.2587,0.2602,
Table any_str * any_dep,Difference,-0.2340,0.0009,-0.2358,-0.2322,_,_,1
Table any_str * any_str,Row 1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Table any_str * any_str,Row 2,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,
Table any_str * any_str,Total,0.2444,0.0004,0.2437,0.2451,0.2437,0.2452,
Table any_str * any_str,Difference,-1.0000,0.0000,-1.0000,-1.0000,_,_,1
Table any_str * any_anx,Row 1,0.1008,0.0003,0.1002,0.1014,0.1002,0.1014,
Table any_str * any_anx,Row 2,0.2093,0.0007,0.2080,0.2107,0.2080,0.2107,
Table any_str * any_anx,Total,0.1273,0.0003,0.1268,0.1279,0.1268,0.1279,
Table any_str * any_anx,Difference,-0.1085,0.0008,-0.1100,-0.1070,_,_,1
Table any_str * any_phb,Row 1,0.0223,0.0001,0.0220,0.0226,0.0220,0.0226,
Table any_str * any_phb,Row 2,0.0415,0.0003,0.0408,0.0422,0.0408,0.0422,
Table any_str * any_phb,Total,0.0270,0.0001,0.0267,0.0273,0.0267,0.0273,
Table any_str * any_phb,Difference,-0.0192,0.0004,-0.0199,-0.0185,_,_,1
Table any_str * any_ptsd,Row 1,0.0111,0.0001,0.0109,0.0113,0.0109,0.0113,
Table any_str * any_ptsd,Row 2,0.0383,0.0003,0.0377,0.0390,0.0377,0.0390,
Table any_str * any_ptsd,Total,0.0178,0.0001,0.0176,0.0180,0.0176,0.0180,
Table any_str * any_ptsd,Difference,-0.0272,0.0003,-0.0279,-0.0265,_,_,1
Table any_str * any_som,Row 1,0.0079,0.0001,0.0077,0.0080,0.0077,0.0080,
Table any_str * any_som,Row 2,0.0151,0.0002,0.0147,0.0155,0.0147,0.0155,
Table any_str * any_som,Total,0.0096,0.0001,0.0095,0.0098,0.0095,0.0098,
Table any_str * any_som,Difference,-0.0073,0.0002,-0.0077,-0.0068,_,_,1
Table any_str * any_psy,Row 1,0.0177,0.0001,0.0174,0.0179,0.0174,0.0179,
Table any_str * any_psy,Row 2,0.0334,0.0003,0.0328,0.0340,0.0328,0.0340,
Table any_str * any_psy,Total,0.0215,0.0001,0.0213,0.0217,0.0213,0.0217,
Table any_str * any_psy,Difference,-0.0157,0.0003,-0.0164,-0.0151,_,_,1
Table any_str * any_oth,Row 1,0.1546,0.0004,0.1539,0.1553,0.1539,0.1553,
Table any_str * any_oth,Row 2,0.3270,0.0008,0.3255,0.3286,0.3255,0.3286,
Table any_str * any_oth,Total,0.1967,0.0003,0.1961,0.1974,0.1961,0.1974,
Table any_str * any_oth,Difference,-0.1725,0.0009,-0.1742,-0.1707,_,_,1
Table any_str * any_slp,Row 1,0.1441,0.0003,0.1434,0.1448,0.1434,0.1448,
Table any_str * any_slp,Row 2,0.2774,0.0008,0.2759,0.2789,0.2759,0.2789,
Table any_str * any_slp,Total,0.1767,0.0003,0.1761,0.1773,0.1761,0.1773,
Table any_str * any_slp,Difference,-0.1334,0.0008,-0.1350,-0.1317,_,_,1
Table any_str * any_sex,Row 1,0.0257,0.0002,0.0254,0.0260,0.0254,0.0260,
Table any_str * any_sex,Row 2,0.0286,0.0003,0.0280,0.0291,0.0280,0.0291,
Table any_str * any_sex,Total,0.0264,0.0001,0.0262,0.0267,0.0262,0.0267,
Table any_str * any_sex,Difference,-0.0028,0.0003,-0.0035,-0.0022,_,_,1
Table any_str * any_per,Row 1,0.0092,0.0001,0.0090,0.0094,0.0090,0.0094,
Table any_str * any_per,Row 2,0.0213,0.0002,0.0208,0.0218,0.0208,0.0218,
Table any_str * any_per,Total,0.0122,0.0001,0.0120,0.0124,0.0120,0.0124,
Table any_str * any_per,Difference,-0.0121,0.0003,-0.0126,-0.0116,_,_,1
Table any_str * any_sui,Row 1,0.0061,0.0001,0.0060,0.0063,0.0060,0.0063,
Table any_str * any_sui,Row 2,0.0187,0.0002,0.0182,0.0191,0.0182,0.0191,
Table any_str * any_sui,Total,0.0092,0.0001,0.0090,0.0093,0.0090,0.0093,
Table any_str * any_sui,Difference,-0.0126,0.0002,-0.0130,-0.0121,_,_,1
Table any_anx * any_adhd,Row 1,0.0105,0.0001,0.0103,0.0107,0.0103,0.0107,
Table any_anx * any_adhd,Row 2,0.0593,0.0006,0.0582,0.0604,0.0582,0.0604,
Table any_anx * any_adhd,Total,0.0167,0.0001,0.0165,0.0169,0.0165,0.0169,
Table any_anx * any_adhd,Difference,-0.0488,0.0006,-0.0499,-0.0477,_,_,1
Table any_anx * any_sub,Row 1,0.0393,0.0002,0.0390,0.0397,0.0390,0.0397,
Table any_anx * any_sub,Row 2,0.1706,0.0009,0.1689,0.1723,0.1689,0.1724,
Table any_anx * any_sub,Total,0.0560,0.0002,0.0557,0.0564,0.0557,0.0564,
Table any_anx * any_sub,Difference,-0.1313,0.0009,-0.1330,-0.1295,_,_,1
Table any_anx * any_dep,Row 1,0.2074,0.0004,0.2066,0.2081,0.2066,0.2081,
Table any_anx * any_dep,Row 2,0.6166,0.0012,0.6143,0.6188,0.6143,0.6188,
Table any_anx * any_dep,Total,0.2595,0.0004,0.2587,0.2602,0.2587,0.2602,
Table any_anx * any_dep,Difference,-0.4092,0.0012,-0.4116,-0.4069,_,_,1
Table any_anx * any_str,Row 1,0.2215,0.0004,0.2207,0.2222,0.2207,0.2222,
Table any_anx * any_str,Row 2,0.4018,0.0012,0.3995,0.4041,0.3995,0.4041,
Table any_anx * any_str,Total,0.2444,0.0004,0.2437,0.2451,0.2437,0.2452,
Table any_anx * any_str,Difference,-0.1803,0.0012,-0.1827,-0.1779,_,_,1
Table any_anx * any_anx,Row 1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Table any_anx * any_anx,Row 2,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,
Table any_anx * any_anx,Total,0.1273,0.0003,0.1268,0.1279,0.1268,0.1279,
Table any_anx * any_anx,Difference,-1.0000,0.0000,-1.0000,-1.0000,_,_,1
Table any_anx * any_phb,Row 1,0.0138,0.0001,0.0136,0.0140,0.0136,0.0140,
Table any_anx * any_phb,Row 2,0.1176,0.0008,0.1161,0.1191,0.1161,0.1191,
Table any_anx * any_phb,Total,0.0270,0.0001,0.0267,0.0273,0.0267,0.0273,
Table any_anx * any_phb,Difference,-0.1039,0.0008,-0.1054,-0.1024,_,_,1
Table any_anx * any_ptsd,Row 1,0.0105,0.0001,0.0103,0.0107,0.0103,0.0107,
Table any_anx * any_ptsd,Row 2,0.0675,0.0006,0.0663,0.0687,0.0663,0.0687,
Table any_anx * any_ptsd,Total,0.0178,0.0001,0.0176,0.0180,0.0176,0.0180,
Table any_anx * any_ptsd,Difference,-0.0570,0.0006,-0.0582,-0.0558,_,_,1
Table any_anx * any_som,Row 1,0.0057,0.0001,0.0056,0.0059,0.0056,0.0059,
Table any_anx * any_som,Row 2,0.0363,0.0004,0.0354,0.0371,0.0354,0.0371,
Table any_anx * any_som,Total,0.0096,0.0001,0.0095,0.0098,0.0095,0.0098,
Table any_anx * any_som,Difference,-0.0305,0.0004,-0.0314,-0.0296,_,_,1
Table any_anx * any_psy,Row 1,0.0127,0.0001,0.0125,0.0129,0.0125,0.0129,
Table any_anx * any_psy,Row 2,0.0817,0.0006,0.0804,0.0830,0.0804,0.0830,
Table any_anx * any_psy,Total,0.0215,0.0001,0.0213,0.0217,0.0213,0.0217,
Table any_anx * any_psy,Difference,-0.0690,0.0007,-0.0703,-0.0677,_,_,1
Table any_anx * any_oth,Row 1,0.1685,0.0003,0.1679,0.1692,0.1679,0.1692,
Table any_anx * any_oth,Row 2,0.3901,0.0012,0.3879,0.3924,0.3879,0.3924,
Table any_anx * any_oth,Total,0.1967,0.0003,0.1961,0.1974,0.1961,0.1974,
Table any_anx * any_oth,Difference,-0.2216,0.0012,-0.2240,-0.2192,_,_,1
Table any_anx * any_slp,Row 1,0.1485,0.0003,0.1479,0.1491,0.1479,0.1491,
Table any_anx * any_slp,Row 2,0.3699,0.0011,0.3676,0.3721,0.3676,0.3721,
Table any_anx * any_slp,Total,0.1767,0.0003,0.1761,0.1773,0.1761,0.1773,
Table any_anx * any_slp,Difference,-0.2214,0.0012,-0.2237,-0.2191,_,_,1
Table any_anx * any_sex,Row 1,0.0251,0.0001,0.0248,0.0254,0.0248,0.0254,
Table any_anx * any_sex,Row 2,0.0358,0.0004,0.0349,0.0366,0.0349,0.0366,
Table any_anx * any_sex,Total,0.0264,0.0001,0.0262,0.0267,0.0262,0.0267,
Table any_anx * any_sex,Difference,-0.0107,0.0005,-0.0116,-0.0098,_,_,1
Table any_anx * any_per,Row 1,0.0063,0.0001,0.0062,0.0065,0.0062,0.0065,
Table any_anx * any_per,Row 2,0.0524,0.0005,0.0514,0.0534,0.0514,0.0534,
Table any_anx * any_per,Total,0.0122,0.0001,0.0120,0.0124,0.0120,0.0124,
Table any_anx * any_per,Difference,-0.0461,0.0005,-0.0471,-0.0450,_,_,1
Table any_anx * any_sui,Row 1,0.0049,0.0001,0.0047,0.0050,0.0047,0.0050,
Table any_anx * any_sui,Row 2,0.0387,0.0005,0.0378,0.0396,0.0378,0.0396,
Table any_anx * any_sui,Total,0.0092,0.0001,0.0090,0.0093,0.0090,0.0093,
Table any_anx * any_sui,Difference,-0.0339,0.0005,-0.0348,-0.0329,_,_,1
Table any_phb * any_adhd,Row 1,0.0150,0.0001,0.0148,0.0152,0.0148,0.0152,
Table any_phb * any_adhd,Row 2,0.0764,0.0014,0.0737,0.0791,0.0737,0.0791,
Table any_phb * any_adhd,Total,0.0167,0.0001,0.0165,0.0169,0.0165,0.0169,
Table any_phb * any_adhd,Difference,-0.0613,0.0014,-0.0640,-0.0587,_,_,1
Table any_phb * any_sub,Row 1,0.0525,0.0002,0.0522,0.0529,0.0522,0.0529,
Table any_phb * any_sub,Row 2,0.1826,0.0020,0.1787,0.1865,0.1787,0.1865,
Table any_phb * any_sub,Total,0.0560,0.0002,0.0557,0.0564,0.0557,0.0564,
Table any_phb * any_sub,Difference,-0.1300,0.0020,-0.1339,-0.1261,_,_,1
Table any_phb * any_dep,Row 1,0.2494,0.0004,0.2487,0.2501,0.2487,0.2501,
Table any_phb * any_dep,Row 2,0.6228,0.0025,0.6179,0.6277,0.6179,0.6277,
Table any_phb * any_dep,Total,0.2595,0.0004,0.2587,0.2602,0.2587,0.2602,
Table any_phb * any_dep,Difference,-0.3734,0.0025,-0.3783,-0.3684,_,_,1
Table any_phb * any_str,Row 1,0.2408,0.0004,0.2401,0.2415,0.2401,0.2415,
Table any_phb * any_str,Row 2,0.3758,0.0025,0.3709,0.3807,0.3709,0.3807,
Table any_phb * any_str,Total,0.2444,0.0004,0.2437,0.2451,0.2437,0.2452,
